domain,verdict,status,runtimeSeconds,primaryProducts,verifiedCompetitors,competitorProducts,assessedProducts,acceptedMatches,acceptedPricedMatches,directPriceDeltas,imageCoveragePercent,suppressedAcceptedPairs,totalGaps,verdictReasons,reportUrl
"wearform.com","PASS","limited","155","753","2","3933","20","17","17","0","100","0","10","terminal report with a catalog, verified rival, and priced published match","https://signal.blyzr.com/reports/64c5c521c41a4b3cb4e60327741b5b66?view=products&layout=table"
"myjam.co.uk","PASS","complete","881","1001","2","1410","1000","39","39","1","100","58","68","terminal report with a catalog, verified rival, and priced published match","https://signal.blyzr.com/reports/7ee06d08fefb485e926d881980d97351?view=products&layout=table"
"allbirds.com","LIMITED","complete","119","291","2","613","20","0","0","0","","0","16","no accepted priced match","https://signal.blyzr.com/reports/55bcd5f8156842529b6e3f2901788f73?view=products&layout=table"
"gymshark.com","FAIL","failed","21","0","0","0","0","0","0","0","","0","0","terminal status failed | no primary products discovered","https://signal.blyzr.com/reports/ace3eb6acc184a84aef8938752dcd208?view=products&layout=table"
"colourpop.com","PASS","complete","118","1060","1","164","20","7","7","0","100","0","8","terminal report with a catalog, verified rival, and priced published match","https://signal.blyzr.com/reports/a68ee78ef1ca49d3b0d017f08f829218?view=products&layout=table"
"beardbrand.com","PASS","complete","82","66","2","104","20","6","6","0","100","0","4","terminal report with a catalog, verified rival, and priced published match","https://signal.blyzr.com/reports/76017da04c0a4aa69db8d463a5a9cb14?view=products&layout=table"
"deathwishcoffee.com","LIMITED","limited","71","146","0","0","0","0","0","0","","0","13","no verified competitor | no accepted priced match","https://signal.blyzr.com/reports/bb3f6379ee55462289765b3fdc75f3a0?view=products&layout=table"
"brooklinen.com","PASS","limited","153","248","3","648","20","14","14","0","100","7","21","terminal report with a catalog, verified rival, and priced published match","https://signal.blyzr.com/reports/0ee5d3f5c2d248a2a5ecb6e888ee136e?view=products&layout=table"
"tentree.com","LIMITED","complete","153","4002","3","3681","20","0","0","0","","0","30","no accepted priced match","https://signal.blyzr.com/reports/23a77a2fdaf147f49fa1d681f6f0dbe4?view=products&layout=table"
"kotn.com","LIMITED","limited","71","971","0","0","0","0","0","0","","0","31","no verified competitor | no accepted priced match","https://signal.blyzr.com/reports/3ff8b95fdd744b1c87c84bc502f0f853?view=products&layout=table"
"bombas.com","FAIL","failed","11","0","0","0","0","0","0","0","","0","0","terminal status failed | no primary products discovered","https://signal.blyzr.com/reports/47653af9637e42fcbde0f0fd09167d07?view=products&layout=table"
"glossier.com","PASS","complete","137","103","2","279","20","2","2","0","100","4","18","terminal report with a catalog, verified rival, and priced published match","https://signal.blyzr.com/reports/90c7d66b8fa04d919096d622b1cf7135?view=products&layout=table"
"liquiddeath.com","LIMITED","limited","96","205","0","0","0","0","0","0","","0","31","no verified competitor | no accepted priced match","https://signal.blyzr.com/reports/61549fba617840b5b0b72807e9d45033?view=products&layout=table"
"buckmason.com","LIMITED","limited","98","1002","0","0","0","0","0","0","","0","31","no verified competitor | no accepted priced match","https://signal.blyzr.com/reports/befc01be2e6f4587a56f31b0c8be31eb?view=products&layout=table"
"ruggable.com","PASS","complete","214","1113","3","1676","20","7","7","0","100","0","37","terminal report with a catalog, verified rival, and priced published match","https://signal.blyzr.com/reports/cc71ca3e4ca54cb28674a04fdf30f5c8?view=products&layout=table"
"hexclad.com","PASS","limited","125","170","3","1394","20","14","14","0","86","2","38","terminal report with a catalog, verified rival, and priced published match","https://signal.blyzr.com/reports/347407f3e01a40cdbba66335feac5d71?view=products&layout=table"
"feastables.com","LIMITED","limited","85","35","0","0","0","0","0","0","","0","3","no verified competitor | no accepted priced match","https://signal.blyzr.com/reports/000533b913e041eb8bd8bee957d42ac8?view=products&layout=table"
"mejuri.com","PASS","limited","219","552","2","1528","20","18","18","0","100","0","33","terminal report with a catalog, verified rival, and priced published match","https://signal.blyzr.com/reports/2387255c9aae4b1fa8051f6844527e59?view=products&layout=table"
"warbyparker.com","LIMITED","limited","41","1","0","0","0","0","0","0","","0","8","no verified competitor | no accepted priced match","https://signal.blyzr.com/reports/67f9de6be966422ea51a52a0cd2f3905?view=products&layout=table"
"ridge.com","FAIL","failed","11","0","0","0","0","0","0","0","","0","0","terminal status failed | no primary products discovered","https://signal.blyzr.com/reports/47a8a25f4b3041938126424068feda2d?view=products&layout=table"
